Group1: strain_1|MBOGGBJL_00270 strain_1|MBOGGBJL_00480 strain_1|MBOGGBJL_03108 strain_1|MBOGGBJL_03641 strain_1|MBOGGBJL_01180 strain_1|MBOGGBJL_00408 strain_1|MBOGGBJL_03801 strain_1|MBOGGBJL_03173 strain_1|MBOGGBJL_03052 strain_1|MBOGGBJL_00467 strain_1|MBOGGBJL_02937 strain_1|MBOGGBJL_01854 strain_1|MBOGGBJL_00657 strain_1|MBOGGBJL_01998 strain_1|MBOGGBJL_03527 strain_1|MBOGGBJL_03715 strain_1|MBOGGBJL_01980 strain_1|MBOGGBJL_03528 strain_1|MBOGGBJL_01997 strain_1|MBOGGBJL_02828
Group2: strain_1|MBOGGBJL_00606 strain_1|MBOGGBJL_02577 strain_2|NIKFMFAN_03928 strain_2|NIKFMFAN_04079
Group3: strain_1|MBOGGBJL_03996 strain_1|MBOGGBJL_04008 strain_1|MBOGGBJL_04007 strain_2|NIKFMFAN_04061
Group4: strain_2|NIKFMFAN_02317 strain_2|NIKFMFAN_02336 strain_1|MBOGGBJL_03521
Group5: strain_2|NIKFMFAN_03620 strain_2|NIKFMFAN_04136 strain_1|MBOGGBJL_01329
Group6: strain_2|NIKFMFAN_03936 strain_2|NIKFMFAN_04016 strain_1|MBOGGBJL_00598
Group7: strain_1|MBOGGBJL_00576 strain_1|MBOGGBJL_02556 strain_2|NIKFMFAN_02850
Group8: strain_1|MBOGGBJL_00578 strain_1|MBOGGBJL_02558 strain_2|NIKFMFAN_02851
Group9: strain_1|MBOGGBJL_00579 strain_1|MBOGGBJL_02559 strain_2|NIKFMFAN_02852
Group10: strain_1|MBOGGBJL_00586 strain_1|MBOGGBJL_02562 strain_2|NIKFMFAN_02855
Group11: strain_1|MBOGGBJL_00588 strain_1|MBOGGBJL_02565 strain_2|NIKFMFAN_02857
Group12: strain_1|MBOGGBJL_01413 strain_1|MBOGGBJL_01414 strain_2|NIKFMFAN_01580
Group13: strain_1|MBOGGBJL_01893 strain_1|MBOGGBJL_01894 strain_2|NIKFMFAN_03248
Group14: strain_1|MBOGGBJL_02830 strain_1|MBOGGBJL_02833 strain_2|NIKFMFAN_04118
Group15: strain_1|MBOGGBJL_04010 strain_1|MBOGGBJL_04011 strain_2|NIKFMFAN_04058
Group16: strain_1|MBOGGBJL_00611 strain_1|MBOGGBJL_02582 strain_2|NIKFMFAN_04033
Group17: strain_1|MBOGGBJL_00407 strain_2|NIKFMFAN_01223 strain_1|MBOGGBJL_00409
Group18: strain_1|MBOGGBJL_02849 strain_2|NIKFMFAN_02989 strain_2|NIKFMFAN_02988
Group19: strain_2|NIKFMFAN_03939 strain_2|NIKFMFAN_04018
Group1927: strain_1|MBOGGBJL_02030 strain_2|NIKFMFAN_01497
Group1928: strain_1|MBOGGBJL_02031 strain_2|NIKFMFAN_01496
Group1929: strain_1|MBOGGBJL_02032 strain_2|NIKFMFAN_01495
Group1930: strain_1|MBOGGBJL_02033 strain_2|NIKFMFAN_01494
Group1931: strain_1|MBOGGBJL_02034 strain_2|NIKFMFAN_01493
Group1932: strain_1|MBOGGBJL_02035 strain_2|NIKFMFAN_01492
Group1933: strain_1|MBOGGBJL_02036 strain_2|NIKFMFAN_01491
Group1934: strain_1|MBOGGBJL_02037 strain_2|NIKFMFAN_01490
Group1935: strain_1|MBOGGBJL_02038 strain_2|NIKFMFAN_01489
Group1936: strain_1|MBOGGBJL_02039 strain_2|NIKFMFAN_01488
Group1937: strain_1|MBOGGBJL_02040 strain_2|NIKFMFAN_01487
Group1938: strain_1|MBOGGBJL_02041 strain_2|NIKFMFAN_01486
Group1939: strain_1|MBOGGBJL_02043 strain_2|NIKFMFAN_01484
Group1940: strain_1|MBOGGBJL_02044 strain_2|NIKFMFAN_01483
Group1941: strain_1|MBOGGBJL_02045 strain_2|NIKFMFAN_01482
Group1942: strain_1|MBOGGBJL_02046 strain_2|NIKFMFAN_01481
Group1943: strain_1|MBOGGBJL_02047 strain_2|NIKFMFAN_01480
Group1944: strain_1|MBOGGBJL_02048 strain_2|NIKFMFAN_01479
Group1945: strain_1|MBOGGBJL_02049 strain_2|NIKFMFAN_01478
Group1946: strain_1|MBOGGBJL_02050 strain_2|NIKFMFAN_01477
Group1947: strain_1|MBOGGBJL_02051 strain_2|NIKFMFAN_01476
Group1948: strain_1|MBOGGBJL_02052 strain_2|NIKFMFAN_01475
Group1949: strain_1|MBOGGBJL_02053 strain_2|NIKFMFAN_01474
Group1950: strain_1|MBOGGBJL_02054 strain_2|NIKFMFAN_01473
Group1951: strain_1|MBOGGBJL_02055 strain_2|NIKFMFAN_01472
Group1952: strain_1|MBOGGBJL_02056 strain_2|NIKFMFAN_01471
Group1953: strain_1|MBOGGBJL_02057 strain_2|NIKFMFAN_01470
Group1954: strain_1|MBOGGBJL_02058 strain_2|NIKFMFAN_01469
Group1955: strain_1|MBOGGBJL_02059 strain_2|NIKFMFAN_01468
Group1956: strain_1|MBOGGBJL_02060 strain_2|NIKFMFAN_01467
Group1957: strain_1|MBOGGBJL_02061 strain_2|NIKFMFAN_01466
Group1958: strain_1|MBOGGBJL_02062 strain_2|NIKFMFAN_01465
Group1959: strain_1|MBOGGBJL_02064 strain_2|NIKFMFAN_01463
Group1960: strain_1|MBOGGBJL_02065 strain_2|NIKFMFAN_01462
Group1961: strain_1|MBOGGBJL_02066 strain_2|NIKFMFAN_01461
Group1962: strain_1|MBOGGBJL_02067 strain_2|NIKFMFAN_01460
Group1963: strain_1|MBOGGBJL_02068 strain_2|NIKFMFAN_01459
Group1964: strain_1|MBOGGBJL_02069 strain_2|NIKFMFAN_01458
Group1965: strain_1|MBOGGBJL_02070 strain_2|NIKFMFAN_01457
Group1966: strain_1|MBOGGBJL_02071 strain_2|NIKFMFAN_01456
Group1967: strain_1|MBOGGBJL_02072 strain_2|NIKFMFAN_01455
Group1968: strain_1|MBOGGBJL_02073 strain_2|NIKFMFAN_01454
Group1969: strain_1|MBOGGBJL_02074 strain_2|NIKFMFAN_01453
Group1970: strain_1|MBOGGBJL_02075 strain_2|NIKFMFAN_01452
Group1971: strain_1|MBOGGBJL_02076 strain_2|NIKFMFAN_01451
Group1972: strain_1|MBOGGBJL_02077 strain_2|NIKFMFAN_01450
Group1973: strain_1|MBOGGBJL_02078 strain_2|NIKFMFAN_01449
Group1974: strain_1|MBOGGBJL_02079 strain_2|NIKFMFAN_01448
Group1975: strain_1|MBOGGBJL_02080 strain_2|NIKFMFAN_01447
Group1976: strain_1|MBOGGBJL_02081 strain_2|NIKFMFAN_01446
Group1977: strain_1|MBOGGBJL_02082 strain_2|NIKFMFAN_01445
Group1978: strain_1|MBOGGBJL_02083 strain_2|NIKFMFAN_01444
Group1979: strain_1|MBOGGBJL_02084 strain_2|NIKFMFAN_01443
Group1980: strain_1|MBOGGBJL_02085 strain_2|NIKFMFAN_01442
Group1981: strain_1|MBOGGBJL_02086 strain_2|NIKFMFAN_01441
Group1982: strain_1|MBOGGBJL_02087 strain_2|NIKFMFAN_01440
Group1983: strain_1|MBOGGBJL_02088 strain_2|NIKFMFAN_01439
Group1984: strain_1|MBOGGBJL_02089 strain_2|NIKFMFAN_01438
Group1985: strain_1|MBOGGBJL_02090 strain_2|NIKFMFAN_01437
Group1986: strain_1|MBOGGBJL_02091 strain_2|NIKFMFAN_01436
Group1987: strain_1|MBOGGBJL_02092 strain_2|NIKFMFAN_01435
Group1988: strain_1|MBOGGBJL_02093 strain_2|NIKFMFAN_01434
Group1989: strain_1|MBOGGBJL_02094 strain_2|NIKFMFAN_01433
Group1990: strain_1|MBOGGBJL_02095 strain_2|NIKFMFAN_01432
Group1991: strain_1|MBOGGBJL_02096 strain_2|NIKFMFAN_01431
Group1992: strain_1|MBOGGBJL_02097 strain_2|NIKFMFAN_01430
Group1993: strain_1|MBOGGBJL_02098 strain_2|NIKFMFAN_01429
Group1994: strain_1|MBOGGBJL_02099 strain_2|NIKFMFAN_01428
Group1995: strain_1|MBOGGBJL_02100 strain_2|NIKFMFAN_01427
Group1996: strain_1|MBOGGBJL_02101 strain_2|NIKFMFAN_01426
Group1997: strain_1|MBOGGBJL_02102 strain_2|NIKFMFAN_01425
Group1998: strain_1|MBOGGBJL_02103 strain_2|NIKFMFAN_01424
Group1999: strain_1|MBOGGBJL_02104 strain_2|NIKFMFAN_01423
Group2000: strain_1|MBOGGBJL_02105 strain_2|NIKFMFAN_01422
Group2001: strain_1|MBOGGBJL_02106 strain_2|NIKFMFAN_01421
Group2002: strain_1|MBOGGBJL_02107 strain_2|NIKFMFAN_01420
Group2003: strain_1|MBOGGBJL_02108 strain_2|NIKFMFAN_01419
Group2004: strain_1|MBOGGBJL_02109 strain_2|NIKFMFAN_01418
Group2005: strain_1|MBOGGBJL_02111 strain_2|NIKFMFAN_01416
Group2006: strain_1|MBOGGBJL_02112 strain_2|NIKFMFAN_01415
Group2007: strain_1|MBOGGBJL_02113 strain_2|NIKFMFAN_01414
Group2008: strain_1|MBOGGBJL_02114 strain_2|NIKFMFAN_01413
Group2009: strain_1|MBOGGBJL_02115 strain_2|NIKFMFAN_01412
Group2010: strain_1|MBOGGBJL_02116 strain_2|NIKFMFAN_01411
Group2011: strain_1|MBOGGBJL_02117 strain_2|NIKFMFAN_01410
Group2012: strain_1|MBOGGBJL_02118 strain_2|NIKFMFAN_01409
Group2013: strain_1|MBOGGBJL_02119 strain_2|NIKFMFAN_01408
Group2014: strain_1|MBOGGBJL_02120 strain_2|NIKFMFAN_01407
Group2015: strain_1|MBOGGBJL_02121 strain_2|NIKFMFAN_01406
Group2016: strain_1|MBOGGBJL_02122 strain_2|NIKFMFAN_01405
Group2017: strain_1|MBOGGBJL_02123 strain_2|NIKFMFAN_01404
Group2018: strain_1|MBOGGBJL_02124 strain_2|NIKFMFAN_01403
Group2019: strain_1|MBOGGBJL_02125 strain_2|NIKFMFAN_01402
Group2020: strain_1|MBOGGBJL_02126 strain_2|NIKFMFAN_01401
Group2021: strain_1|MBOGGBJL_02127 strain_2|NIKFMFAN_01398
Group2022: strain_1|MBOGGBJL_02128 strain_2|NIKFMFAN_01397
Group2023: strain_1|MBOGGBJL_02129 strain_2|NIKFMFAN_01396
Group2024: strain_1|MBOGGBJL_02130 strain_2|NIKFMFAN_01395
Group2025: strain_1|MBOGGBJL_02131 strain_2|NIKFMFAN_01394
Group2026: strain_1|MBOGGBJL_02132 strain_2|NIKFMFAN_01393
Group2027: strain_1|MBOGGBJL_02133 strain_2|NIKFMFAN_01392
Group2028: strain_1|MBOGGBJL_02134 strain_2|NIKFMFAN_01391
Group2029: strain_1|MBOGGBJL_02135 strain_2|NIKFMFAN_01390
Group2030: strain_1|MBOGGBJL_02136 strain_2|NIKFMFAN_01389
Group2031: strain_1|MBOGGBJL_02137 strain_2|NIKFMFAN_01388
Group2032: strain_1|MBOGGBJL_02138 strain_2|NIKFMFAN_01387
Group2033: strain_1|MBOGGBJL_02139 strain_2|NIKFMFAN_01386
Group2034: strain_1|MBOGGBJL_02140 strain_2|NIKFMFAN_01385
Group2035: strain_1|MBOGGBJL_02141 strain_2|NIKFMFAN_01383
Group2036: strain_1|MBOGGBJL_02142 strain_2|NIKFMFAN_01382
Group2037: strain_1|MBOGGBJL_02143 strain_2|NIKFMFAN_01381
Group2038: strain_1|MBOGGBJL_02144 strain_2|NIKFMFAN_01380
Group2039: strain_1|MBOGGBJL_02145 strain_2|NIKFMFAN_01379
Group2040: strain_1|MBOGGBJL_02146 strain_2|NIKFMFAN_01378
Group2041: strain_1|MBOGGBJL_02147 strain_2|NIKFMFAN_01377
Group2042: strain_1|MBOGGBJL_02148 strain_2|NIKFMFAN_01376
Group2043: strain_1|MBOGGBJL_02149 strain_2|NIKFMFAN_01375
Group2044: strain_1|MBOGGBJL_02150 strain_2|NIKFMFAN_01374
Group2045: strain_1|MBOGGBJL_02151 strain_2|NIKFMFAN_01373
Group2046: strain_1|MBOGGBJL_02152 strain_2|NIKFMFAN_01372
Group2047: strain_1|MBOGGBJL_02153 strain_2|NIKFMFAN_01371
Group2048: strain_1|MBOGGBJL_02154 strain_2|NIKFMFAN_01370
Group2049: strain_1|MBOGGBJL_02155 strain_2|NIKFMFAN_01369
Group2050: strain_1|MBOGGBJL_02156 strain_2|NIKFMFAN_01368
Group2051: strain_1|MBOGGBJL_02157 strain_2|NIKFMFAN_01367
Group2052: strain_1|MBOGGBJL_02158 strain_2|NIKFMFAN_01366
Group2053: strain_1|MBOGGBJL_02159 strain_2|NIKFMFAN_01365
Group2054: strain_1|MBOGGBJL_02160 strain_2|NIKFMFAN_01364
Group2055: strain_1|MBOGGBJL_02161 strain_2|NIKFMFAN_01363
Group2056: strain_1|MBOGGBJL_02162 strain_2|NIKFMFAN_01362
Group2057: strain_1|MBOGGBJL_02163 strain_2|NIKFMFAN_01361
Group2058: strain_1|MBOGGBJL_02164 strain_2|NIKFMFAN_01360
Group2059: strain_1|MBOGGBJL_02165 strain_2|NIKFMFAN_01359
Group2060: strain_1|MBOGGBJL_02166 strain_2|NIKFMFAN_01358
Group2061: strain_1|MBOGGBJL_02167 strain_2|NIKFMFAN_01357
Group2062: strain_1|MBOGGBJL_02168 strain_2|NIKFMFAN_01356
Group2063: strain_1|MBOGGBJL_02169 strain_2|NIKFMFAN_01355
Group2064: strain_1|MBOGGBJL_02170 strain_2|NIKFMFAN_01354
Group2065: strain_1|MBOGGBJL_02171 strain_2|NIKFMFAN_01353
Group2066: strain_1|MBOGGBJL_02172 strain_2|NIKFMFAN_01352
Group2067: strain_1|MBOGGBJL_02173 strain_2|NIKFMFAN_01351
Group2068: strain_1|MBOGGBJL_02174 strain_2|NIKFMFAN_01350
Group2069: strain_1|MBOGGBJL_02175 strain_2|NIKFMFAN_01349
Group2070: strain_1|MBOGGBJL_02176 strain_2|NIKFMFAN_01348
Group2071: strain_1|MBOGGBJL_02177 strain_2|NIKFMFAN_01347
Group2072: strain_1|MBOGGBJL_02178 strain_2|NIKFMFAN_01346
Group2073: strain_1|MBOGGBJL_02179 strain_2|NIKFMFAN_01345
Group2074: strain_1|MBOGGBJL_02180 strain_2|NIKFMFAN_01344
Group2075: strain_1|MBOGGBJL_02181 strain_2|NIKFMFAN_01343
Group2076: strain_1|MBOGGBJL_02182 strain_2|NIKFMFAN_01342
Group2077: strain_1|MBOGGBJL_02183 strain_2|NIKFMFAN_01341
Group2078: strain_1|MBOGGBJL_02184 strain_2|NIKFMFAN_01340
Group2079: strain_1|MBOGGBJL_02185 strain_2|NIKFMFAN_01339
Group2080: strain_1|MBOGGBJL_02186 strain_2|NIKFMFAN_01338
Group2081: strain_1|MBOGGBJL_02187 strain_2|NIKFMFAN_01337
Group2082: strain_1|MBOGGBJL_02188 strain_2|NIKFMFAN_01336
Group2083: strain_1|MBOGGBJL_02189 strain_2|NIKFMFAN_01335
Group2084: strain_1|MBOGGBJL_02190 strain_2|NIKFMFAN_01334
Group2085: strain_1|MBOGGBJL_02191 strain_2|NIKFMFAN_01333
Group2086: strain_1|MBOGGBJL_02192 strain_2|NIKFMFAN_01332
Group2087: strain_1|MBOGGBJL_02193 strain_2|NIKFMFAN_01331
Group2088: strain_1|MBOGGBJL_02194 strain_2|NIKFMFAN_01330
Group2089: strain_1|MBOGGBJL_02195 strain_2|NIKFMFAN_01329
Group2090: strain_1|MBOGGBJL_02196 strain_2|NIKFMFAN_01328
Group2091: strain_1|MBOGGBJL_02197 strain_2|NIKFMFAN_01327
Group2092: strain_1|MBOGGBJL_02198 strain_2|NIKFMFAN_01326
Group2093: strain_1|MBOGGBJL_02199 strain_2|NIKFMFAN_01325
Group2094: strain_1|MBOGGBJL_02200 strain_2|NIKFMFAN_01324
Group2095: strain_1|MBOGGBJL_02201 strain_2|NIKFMFAN_01323
Group2096: strain_1|MBOGGBJL_02202 strain_2|NIKFMFAN_01322
Group2097: strain_1|MBOGGBJL_02203 strain_2|NIKFMFAN_01321
Group2098: strain_1|MBOGGBJL_02204 strain_2|NIKFMFAN_01320
Group2099: strain_1|MBOGGBJL_02205 strain_2|NIKFMFAN_01319
Group2100: strain_1|MBOGGBJL_02207 strain_2|NIKFMFAN_01317
Group2101: strain_1|MBOGGBJL_02208 strain_2|NIKFMFAN_01316
Group2102: strain_1|MBOGGBJL_02209 strain_2|NIKFMFAN_01315
Group2103: strain_1|MBOGGBJL_02210 strain_2|NIKFMFAN_01314
Group2104: strain_1|MBOGGBJL_02211 strain_2|NIKFMFAN_01313
Group2105: strain_1|MBOGGBJL_02212 strain_2|NIKFMFAN_01312
Group2106: strain_1|MBOGGBJL_02213 strain_2|NIKFMFAN_01311
Group2107: strain_1|MBOGGBJL_02214 strain_2|NIKFMFAN_01310
Group2108: strain_1|MBOGGBJL_02215 strain_2|NIKFMFAN_01309
Group2109: strain_1|MBOGGBJL_02216 strain_2|NIKFMFAN_01308
Group2110: strain_1|MBOGGBJL_02217 strain_2|NIKFMFAN_01307
Group2111: strain_1|MBOGGBJL_02218 strain_2|NIKFMFAN_01306
Group2112: strain_1|MBOGGBJL_02219 strain_2|NIKFMFAN_01305
Group2113: strain_1|MBOGGBJL_02220 strain_2|NIKFMFAN_01304
Group2114: strain_1|MBOGGBJL_02221 strain_2|NIKFMFAN_01303
Group2115: strain_1|MBOGGBJL_02222 strain_2|NIKFMFAN_01302
Group2116: strain_1|MBOGGBJL_02223 strain_2|NIKFMFAN_01301
Group2117: strain_1|MBOGGBJL_02224 strain_2|NIKFMFAN_01300
Group2118: strain_1|MBOGGBJL_02225 strain_2|NIKFMFAN_01299
Group2119: strain_1|MBOGGBJL_02226 strain_2|NIKFMFAN_01298
Group2120: strain_1|MBOGGBJL_02228 strain_2|NIKFMFAN_01296
Group2121: strain_1|MBOGGBJL_02229 strain_2|NIKFMFAN_01295
Group2122: strain_1|MBOGGBJL_02230 strain_2|NIKFMFAN_01294
Group2123: strain_1|MBOGGBJL_02231 strain_2|NIKFMFAN_01293
Group2124: strain_1|MBOGGBJL_02232 strain_2|NIKFMFAN_01292
Group2125: strain_1|MBOGGBJL_02233 strain_2|NIKFMFAN_01291
Group2126: strain_1|MBOGGBJL_02234 strain_2|NIKFMFAN_01290
Group2127: strain_1|MBOGGBJL_02235 strain_2|NIKFMFAN_01289
Group2128: strain_1|MBOGGBJL_02236 strain_2|NIKFMFAN_01288
Group2129: strain_1|MBOGGBJL_02237 strain_2|NIKFMFAN_01287
Group2130: strain_1|MBOGGBJL_02238 strain_2|NIKFMFAN_01286
Group2131: strain_1|MBOGGBJL_02239 strain_2|NIKFMFAN_01285
Group2132: strain_1|MBOGGBJL_02240 strain_2|NIKFMFAN_01284
Group2133: strain_1|MBOGGBJL_02241 strain_2|NIKFMFAN_01283
Group2134: strain_1|MBOGGBJL_02242 strain_2|NIKFMFAN_01282
Group2135: strain_1|MBOGGBJL_02243 strain_2|NIKFMFAN_01281
Group2136: strain_1|MBOGGBJL_02244 strain_2|NIKFMFAN_02002
Group2137: strain_1|MBOGGBJL_02246 strain_2|NIKFMFAN_02000
Group2138: strain_1|MBOGGBJL_02247 strain_2|NIKFMFAN_01999
Group2139: strain_1|MBOGGBJL_02248 strain_2|NIKFMFAN_01998
Group2140: strain_1|MBOGGBJL_02249 strain_2|NIKFMFAN_01997
Group2141: strain_1|MBOGGBJL_02251 strain_2|NIKFMFAN_00634
Group2142: strain_1|MBOGGBJL_02252 strain_2|NIKFMFAN_00635
Group2143: strain_1|MBOGGBJL_02253 strain_2|NIKFMFAN_00636
Group2144: strain_1|MBOGGBJL_02254 strain_2|NIKFMFAN_00637
Group2145: strain_1|MBOGGBJL_02255 strain_2|NIKFMFAN_00638
Group2146: strain_1|MBOGGBJL_02256 strain_2|NIKFMFAN_00639
Group2147: strain_1|MBOGGBJL_02257 strain_2|NIKFMFAN_00640
Group2148: strain_1|MBOGGBJL_02258 strain_2|NIKFMFAN_00641
Group2149: strain_1|MBOGGBJL_02259 strain_2|NIKFMFAN_00642
Group2150: strain_1|MBOGGBJL_02260 strain_2|NIKFMFAN_00643
Group2151: strain_1|MBOGGBJL_02261 strain_2|NIKFMFAN_00644
Group2152: strain_1|MBOGGBJL_02262 strain_2|NIKFMFAN_00645
Group2153: strain_1|MBOGGBJL_02263 strain_2|NIKFMFAN_00646
Group2154: strain_1|MBOGGBJL_02264 strain_2|NIKFMFAN_00647
Group2155: strain_1|MBOGGBJL_02265 strain_2|NIKFMFAN_00648
Group2156: strain_1|MBOGGBJL_02266 strain_2|NIKFMFAN_00649
Group2157: strain_1|MBOGGBJL_02267 strain_2|NIKFMFAN_00650
Group2158: strain_1|MBOGGBJL_02268 strain_2|NIKFMFAN_00651
Group2159: strain_1|MBOGGBJL_02269 strain_2|NIKFMFAN_00652
Group2160: strain_1|MBOGGBJL_02270 strain_2|NIKFMFAN_00653
Group2161: strain_1|MBOGGBJL_02271 strain_2|NIKFMFAN_00654
Group2162: strain_1|MBOGGBJL_02273 strain_2|NIKFMFAN_00656
Group2163: strain_1|MBOGGBJL_02274 strain_2|NIKFMFAN_00657
Group2164: strain_1|MBOGGBJL_02275 strain_2|NIKFMFAN_00658
Group2165: strain_1|MBOGGBJL_02276 strain_2|NIKFMFAN_00659
Group2166: strain_1|MBOGGBJL_02277 strain_2|NIKFMFAN_00660
Group2167: strain_1|MBOGGBJL_02278 strain_2|NIKFMFAN_00661
Group2168: strain_1|MBOGGBJL_02279 strain_2|NIKFMFAN_00662
Group2169: strain_1|MBOGGBJL_02280 strain_2|NIKFMFAN_00663
Group2170: strain_1|MBOGGBJL_02281 strain_2|NIKFMFAN_00664
Group2171: strain_1|MBOGGBJL_02282 strain_2|NIKFMFAN_00665
Group2172: strain_1|MBOGGBJL_02283 strain_2|NIKFMFAN_00666
Group2173: strain_1|MBOGGBJL_02284 strain_2|NIKFMFAN_00667
Group2174: strain_1|MBOGGBJL_02285 strain_2|NIKFMFAN_00668
Group2175: strain_1|MBOGGBJL_02286 strain_2|NIKFMFAN_00669
Group2176: strain_1|MBOGGBJL_02288 strain_2|NIKFMFAN_00671
Group2177: strain_1|MBOGGBJL_02289 strain_2|NIKFMFAN_00672
Group2178: strain_1|MBOGGBJL_02290 strain_2|NIKFMFAN_00673
Group2179: strain_1|MBOGGBJL_02291 strain_2|NIKFMFAN_00674
Group2180: strain_1|MBOGGBJL_02292 strain_2|NIKFMFAN_00675
Group2181: strain_1|MBOGGBJL_02293 strain_2|NIKFMFAN_00676
Group2182: strain_1|MBOGGBJL_02294 strain_2|NIKFMFAN_00677
Group2183: strain_1|MBOGGBJL_02295 strain_2|NIKFMFAN_00678
Group2184: strain_1|MBOGGBJL_02296 strain_2|NIKFMFAN_00679
Group2185: strain_1|MBOGGBJL_02297 strain_2|NIKFMFAN_00680
Group2186: strain_1|MBOGGBJL_02298 strain_2|NIKFMFAN_00681
Group2187: strain_1|MBOGGBJL_02299 strain_2|NIKFMFAN_00682
Group2188: strain_1|MBOGGBJL_02300 strain_2|NIKFMFAN_00683
Group2189: strain_1|MBOGGBJL_02301 strain_2|NIKFMFAN_00684
Group2190: strain_1|MBOGGBJL_02302 strain_2|NIKFMFAN_00685
Group2191: strain_1|MBOGGBJL_02303 strain_2|NIKFMFAN_00686
Group2192: strain_1|MBOGGBJL_02304 strain_2|NIKFMFAN_00687
Group2193: strain_1|MBOGGBJL_02305 strain_2|NIKFMFAN_00688
Group2194: strain_1|MBOGGBJL_02306 strain_2|NIKFMFAN_00689
Group2195: strain_1|MBOGGBJL_02307 strain_2|NIKFMFAN_00690
Group2196: strain_1|MBOGGBJL_02308 strain_2|NIKFMFAN_00691
Group2197: strain_1|MBOGGBJL_02309 strain_2|NIKFMFAN_00692
Group2198: strain_1|MBOGGBJL_02310 strain_2|NIKFMFAN_00693
Group2199: strain_1|MBOGGBJL_02311 strain_2|NIKFMFAN_00694
Group2200: strain_1|MBOGGBJL_02312 strain_2|NIKFMFAN_00695
Group2201: strain_1|MBOGGBJL_02313 strain_2|NIKFMFAN_00696
Group2202: strain_1|MBOGGBJL_02314 strain_2|NIKFMFAN_00697
Group2203: strain_1|MBOGGBJL_02315 strain_2|NIKFMFAN_00698
Group2204: strain_1|MBOGGBJL_02316 strain_2|NIKFMFAN_00699
Group2205: strain_1|MBOGGBJL_02317 strain_2|NIKFMFAN_00700
Group2206: strain_1|MBOGGBJL_02318 strain_2|NIKFMFAN_00702
Group2207: strain_1|MBOGGBJL_02319 strain_2|NIKFMFAN_00703
Group2208: strain_1|MBOGGBJL_02320 strain_2|NIKFMFAN_00704
Group2209: strain_1|MBOGGBJL_02321 strain_2|NIKFMFAN_00705
Group2210: strain_1|MBOGGBJL_02322 strain_2|NIKFMFAN_00706
Group2211: strain_1|MBOGGBJL_02323 strain_2|NIKFMFAN_00707
Group2212: strain_1|MBOGGBJL_02324 strain_2|NIKFMFAN_00708
Group2213: strain_1|MBOGGBJL_02325 strain_2|NIKFMFAN_00710
Group2214: strain_1|MBOGGBJL_02328 strain_2|NIKFMFAN_00713
Group2215: strain_1|MBOGGBJL_02330 strain_2|NIKFMFAN_00715
Group2216: strain_1|MBOGGBJL_02331 strain_2|NIKFMFAN_00716
Group2217: strain_1|MBOGGBJL_02333 strain_2|NIKFMFAN_00718
Group2218: strain_1|MBOGGBJL_02334 strain_2|NIKFMFAN_00719
Group2219: strain_1|MBOGGBJL_02335 strain_2|NIKFMFAN_00720
Group2220: strain_1|MBOGGBJL_02336 strain_2|NIKFMFAN_00721
Group2221: strain_1|MBOGGBJL_02337 strain_2|NIKFMFAN_00722
Group2222: strain_1|MBOGGBJL_02338 strain_2|NIKFMFAN_00723
Group2223: strain_1|MBOGGBJL_02339 strain_2|NIKFMFAN_00724
Group2224: strain_1|MBOGGBJL_02340 strain_2|NIKFMFAN_00001
Group2225: strain_1|MBOGGBJL_02341 strain_2|NIKFMFAN_00002
Group2226: strain_1|MBOGGBJL_02343 strain_2|NIKFMFAN_00004
Group2227: strain_1|MBOGGBJL_02344 strain_2|NIKFMFAN_00005
Group2228: strain_1|MBOGGBJL_02345 strain_2|NIKFMFAN_00006
Group2229: strain_1|MBOGGBJL_02346 strain_2|NIKFMFAN_00007
Group2230: strain_1|MBOGGBJL_02347 strain_2|NIKFMFAN_00008
Group2231: strain_1|MBOGGBJL_02348 strain_2|NIKFMFAN_00009
Group2232: strain_1|MBOGGBJL_02349 strain_2|NIKFMFAN_00010
Group2233: strain_1|MBOGGBJL_02350 strain_2|NIKFMFAN_00011
Group2234: strain_1|MBOGGBJL_02351 strain_2|NIKFMFAN_00012
Group2235: strain_1|MBOGGBJL_02352 strain_2|NIKFMFAN_00013
Group2236: strain_1|MBOGGBJL_02353 strain_2|NIKFMFAN_00014
Group2237: strain_1|MBOGGBJL_02354 strain_2|NIKFMFAN_00015
Group2238: strain_1|MBOGGBJL_02355 strain_2|NIKFMFAN_00016
Group2239: strain_1|MBOGGBJL_02356 strain_2|NIKFMFAN_00017
Group2240: strain_1|MBOGGBJL_02357 strain_2|NIKFMFAN_00018
Group2241: strain_1|MBOGGBJL_02358 strain_2|NIKFMFAN_00019
Group2242: strain_1|MBOGGBJL_02359 strain_2|NIKFMFAN_00020
Group2243: strain_1|MBOGGBJL_02360 strain_2|NIKFMFAN_00021
Group2244: strain_1|MBOGGBJL_02361 strain_2|NIKFMFAN_00022
Group2245: strain_1|MBOGGBJL_02362 strain_2|NIKFMFAN_00023
Group2246: strain_1|MBOGGBJL_02363 strain_2|NIKFMFAN_00024
Group2247: strain_1|MBOGGBJL_02364 strain_2|NIKFMFAN_00025
Group2248: strain_1|MBOGGBJL_02365 strain_2|NIKFMFAN_00026
Group2249: strain_1|MBOGGBJL_02366 strain_2|NIKFMFAN_00027
Group2250: strain_1|MBOGGBJL_02367 strain_2|NIKFMFAN_00028
